Video Name,Video URL,Complexity Level,Cleaned Video Name,Frame Rate (fps),Scene Transition Rate (Per Min),Average Scene Duration (in Mins),Average Motion Intensity,Average Texture Contrast,Average Texture Homogeneity,Dominant Color Standard Deviation (R),Dominant Color Standard Deviation (G),Dominant Color Standard Deviation (B),Bit Rate (Mbps),Compression Ratio,Average PSNR (dB),Average SSIM,Average Color Standard Deviation (R),Average Color Standard Deviation (G),Average Color Standard Deviation (B)
Ancient Greece for Kids | History Learning Video,https://www.youtube.com/watch?v=jloEzVh31TE,0,AncientGreeceforKidsHistoryLearningVideo,23.976023976023978,1.671699177732967,0.555465625,1.4649364133773166,3836.711863190945,0.3869479758700042,66.61604225110389,57.95981648469792,59.95700075649109,0.2029742507425532,0.3188859235232326,43.86186657865789,0.925565542208762,50.19239585839785,47.42149975095951,52.54066517701783
Ancient Egypt for Kids,https://www.youtube.com/watch?v=lBYmOuajdC8,0,AncientEgyptforKids,25.0,2.088409328228333,0.4506666666666667,1.039019698154809,4211.515352066535,0.2920943304094769,55.86070916106703,51.63162854455174,53.2895459181141,0.1847471632439958,0.2859507995564351,44.85193341180455,0.952130241431239,49.18518747904851,45.51914031408454,45.98870877473501
Ancient Egypt 101 | National Geographic,https://www.youtube.com/watch?v=hO1tzmi1V5g,0,AncientEgypt101NationalGeographic,29.97002997002997,5.464681903723735,0.1777648888888889,7.100868912861235,4413.645649274507,0.2525839873977022,58.93433554557839,64.08752702173493,70.11879864473221,0.4354666999071718,0.5473664299890224,17.21785150754726,0.5632379689771168,42.61367413238038,48.60224586926118,55.32594176608659
Indus Valley Civilization: Crash Course World History #2,https://www.youtube.com/watch?v=n7ndRwqJYDM,0,IndusValleyCivilizationCrashCourseWorldHistory2,23.976023976023978,6.0615011577597855,0.1621794373822975,4.847736164498031,4389.711371043471,0.2370494132919953,79.43044815919905,85.22295363142372,80.77634180006139,0.2665540117710114,0.5152787145465367,19.077510616830708,0.753524269338182,42.024132196484096,42.683903597226205,42.89918961255191
Ancient Mesopotamia 101 | National Geographic,https://www.youtube.com/watch?v=xVf5kZA0HtQ,0,AncientMesopotamia101NationalGeographic,29.97002997002997,10.095505350150452,0.0967504005167958,5.3914480040263,3377.193570775505,0.1836074625326497,44.18282049966992,45.726364677908215,48.61891164760362,0.2862014873243318,0.2405482999019684,18.608623870226605,0.5643981598995973,35.2194489709802,37.20203884701455,40.682775821129134
Indus Valley Civilization Facts - History of Ancient India | Educational Videos by Mocomi,https://www.youtube.com/watch?v=KhDY4KJuvc0,0,IndusValleyCivilizationFactsHistoryofAncientIndiaEducationalVideosbyMocomi,24.0,0.0,4.059722222222223,8.569478528773404,2631.999723567227,0.0350324735063598,28.769238915319427,28.965898861054,30.579930597282026,0.600158730071844,0.4922340190063127,18.012054893323235,0.4517222377483917,22.519792975215545,21.414116355202875,23.979584107869027
01 - Review Of Fraction Concepts - (5th Grade Math),https://www.youtube.com/watch?v=xlK8Smp5Ug8,0,01ReviewOfFractionConcepts5thGradeMath,29.97002997002997,0.1146154502008922,4.362413611111111,3.2584938386524165,1787.032773500388,0.210989245756781,22.962042612350267,22.71979999720441,21.927184621896146,0.4104056820227386,0.7234014561721114,19.262826294746933,0.861342114301065,22.50183264341545,21.75543668440473,21.228532488959022
Lesson 2 - Writing Fractions As Words - (5th Grade Math),https://www.youtube.com/watch?v=SKEmIj-YCPc,0,Lesson2WritingFractionsAsWords5thGradeMath,29.97002997002997,0.2499932987907407,2.000053611111112,3.0329417049614413,1660.7865225620224,0.2035444593991069,32.66461018349039,32.20254723343791,31.72231627598636,0.3932395923275945,0.3177884057091075,20.867779771535016,0.8787654047411103,30.785935329406577,29.837068052367673,30.1290046834233
Lesson 3 - Finding Factors Of Numbers - (5th Grade Math),https://www.youtube.com/watch?v=OWlvooseo_o,0,Lesson3FindingFactorsOfNumbers5thGradeMath,29.97002997002997,0.4999865975814814,1.3333690740740742,2.80027919932599,1809.321832572224,0.1741808450181292,32.577273574817326,31.922820468590995,31.59063561526544,0.3762784136480785,0.3040815815828623,19.85391568281149,0.8728810615749271,30.708749454941742,29.677223581439147,30.10189620728306
Lesson 4 - Finding The Greatest Common Factor - (5th Grade Math),https://www.youtube.com/watch?v=U0-sgUCXHxA,0,Lesson4FindingTheGreatestCommonFactor5thGradeMath,29.97002997002997,0.2499932987907407,2.000053611111112,3.1120574776263488,1690.5500110522726,0.2083534875876202,32.61464105354263,31.949124187466985,31.644637882650613,0.3693570991777581,0.2984882651064731,19.92161430138723,0.8704320200053302,31.158691701232033,30.17828452542522,30.510942271539115
Lesson 5 - Finding The GCF Of 3 Numbers - (5th Grade Math),https://www.youtube.com/watch?v=2hWAL_HERag,0,Lesson5FindingTheGCFOf3Numbers5thGradeMath,29.97002997002997,0.4999865975814814,1.3333690740740742,2.55361175092478,1455.4247743730507,0.1968923399602887,35.31544321322201,33.92151361573485,33.12145415453374,0.4275466727072454,0.3455129598768401,21.23315803749008,0.8894579130456648,31.62803137238806,30.60707900801644,30.770361746230304
Lesson 6 - Prime Factorization - (5th Grade Math),https://www.youtube.com/watch?v=R68uRLRJssA,0,Lesson6PrimeFactorization5thGradeMath,29.97002997002997,0.0,4.000663333333334,2.819549195438383,1732.4129716763705,0.2034401326960494,33.01334728094011,32.612423525753094,32.04195417935389,0.4113702810950517,0.3324865623160966,20.940536760818592,0.8790185478069003,31.240359499397968,30.356713947495084,30.41625840377682
Lesson 7 -  Equivalent Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vzUaMZd5IeU,0,Lesson7EquivalentFractions5thGradeMath,29.97002997002997,0.2499932987907407,2.000053611111112,3.2256539175587315,1961.9083691018493,0.1780054870134637,32.594014300628054,31.92212928909002,31.670635878503568,0.4207552214225368,0.3400245896355734,19.584907846046097,0.8547266584315322,31.164388336794172,29.931180682540507,30.44189266221142
Lesson 8 - Renaming Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vxth4e33HUU,0,Lesson8RenamingFractions5thGradeMath,29.97002997002997,0.2499585485407003,2.000331666666667,3.048462171032424,1715.8722995125408,0.2070821647967155,32.6651997383637,32.03546616488879,31.80784348925541,0.4198248790408923,0.3393199198432723,19.49647291644785,0.8685247716174225,30.55892876217137,29.66180229419189,30.186212373994234
"Lesson 9 - Simplifying Fractions, Part 1 - (5th Grade Math)",https://www.youtube.com/watch?v=7TgsXK0ZUu8,0,Lesson9SimplifyingFractionsPart15thGradeMath,29.97002997002997,0.0,4.000663333333334,2.8875583812984966,2057.194891833489,0.1750137958658555,32.5027134285689,31.80497487043892,31.65829243467436,0.3507925602337612,0.2835251300305672,19.47831520535555,0.8566241954165208,30.627656924198373,29.481632279352464,30.106388587941726
"Lesson 10 - Simplifying Fractions, Part 2 (5th Grade Math)",https://www.youtube.com/watch?v=ZfO4TzfcTc0,0,Lesson10SimplifyingFractionsPart25thGradeMath,29.97002997002997,0.2499932987907407,2.000053611111112,3.1988499314193763,2090.6582981536826,0.1969643918454186,32.48347143575446,31.88837363508453,31.70953873611702,0.3690879397260601,0.2982707494882456,19.0434932665194,0.8712649737553311,30.1436818037056,29.346836370283672,29.87460498142107
Lesson 11 - Review Of Improper Fractions - (5th Grade Math),https://www.youtube.com/watch?v=LDqQ9y5ILEc,0,Lesson11ReviewOfImproperFractions5thGradeMath,29.97002997002997,0.2499585485407003,2.000331666666667,3.00613580896489,1890.109667347719,0.2007253425308887,32.92737849633728,32.72894960415401,32.13913629626112,0.3440594434756236,0.2780831451632432,19.989479398106035,0.8680742726086519,31.124929302687963,30.480209428847367,30.487540996116344
Lesson 12 - Review Of Mixed Fractions - (5th Grade Math),https://www.youtube.com/watch?v=xOHGaNF0tIg,0,Lesson12ReviewOfMixedFractions5thGradeMath,29.97002997002997,0.2499585485407003,2.000331666666667,4.075297363853503,2183.611835287352,0.1800770007921161,32.33148786646772,31.842793795731453,31.661785639160684,0.4280862423648078,0.345997097116023,18.006746255823725,0.842514247940337,30.25838319912051,29.414388746646804,29.936504870478025
Microscope (Parts and Functions) | Grade 7 Science DepEd MELC Quarter 2 Module 1,https://www.youtube.com/watch?v=ZEF9mnL9_W0,0,MicroscopePartsandFunctionsGrade7ScienceDepEdMELCQuarter2Module1,30.0,0.4683231429686483,1.4235185185185186,0.4408381849247228,2627.9821318995555,0.655525441337471,73.00465859682119,46.80766174937154,40.97069845255397,0.2021979549889423,0.174449734645761,56.77657504658857,0.973623877567098,15.9793309255029,6.581695839537013,9.70832952873463
"How to Use a Microscope, Magnification | Grade 7 Science DepEd MELC Quarter 2 Module 2",https://www.youtube.com/watch?v=c6vUNJzoON0,0,HowtoUseaMicroscopeMagnificationGrade7ScienceDepEdMELCQuarter2Module2,30.0,0.2647642862396117,2.517962962962963,0.5172834406912102,2909.845878326173,0.6158014181654673,90.4649374504617,52.35551145627601,42.90977230263315,0.2299764653967786,0.3509644804133718,60.67866631501262,0.9581313619447168,34.43643845542776,38.23810309937746,38.50818977613202
Levels of Biological Organization | Grade 7 Science DepEd MELC Quarter 2 Module 3,https://www.youtube.com/watch?v=ksLh67GPBTc,0,LevelsofBiologicalOrganizationGrade7ScienceDepEdMELCQuarter2Module3,30.0,0.0,6.433888888888889,0.473890565382787,2013.201697234204,0.6483997537773217,82.74680484415306,52.656315406261285,49.040336766078624,0.2119423193161212,0.2754865608884399,63.14665294991547,0.9691051910385023,20.75329521874481,9.65469633608138,9.031914695136226
Types of Reproduction: Sexual and Asexual | Grade 7 Science DepEd MELC Quarter 2 Module 5,https://www.youtube.com/watch?v=9AIBnaow5a0,0,TypesofReproductionSexualandAsexualGrade7ScienceDepEdMELCQuarter2Module5,30.0,0.0,5.8533333333333335,0.4899346716845104,1706.044401347141,0.7118868708031095,94.7205406223638,46.44356968719417,47.24551286892143,0.1973814578587699,0.2334096393386329,55.40501149352376,0.9713604708341445,18.120169807959062,11.72071480540974,13.48141144446517
"Biotic & Abiotic Component, Ecological Relationships | Grade 7 Science DepEd MELC Quarter 2 Module 6",https://www.youtube.com/watch?v=IZoIvJEiNaM,0,BioticAbioticComponentEcologicalRelationshipsGrade7ScienceDepEdMELCQuarter2Module6,30.0,0.2313624678663239,2.8814814814814813,0.9378405182642944,2275.272584053934,0.6162991474168923,71.73527009455263,50.98389263868835,74.55942671063963,0.2435583856041131,0.4253528554521037,45.35461565853353,0.95209050008449,24.517214102724935,18.666312730651605,24.032174108110542
Effect of Changes in the Abiotic Factor on Ecosystem | Grade 7 Science DepEd MELC Quarter 2 Module 7,https://www.youtube.com/watch?v=wAPpAxfsars,0,EffectofChangesintheAbioticFactoronEcosystemGrade7ScienceDepEdMELCQuarter2Module7,30.0,3.120016640088747,0.3081837606837607,1.463210645437106,3015.567716912007,0.5357818807683292,75.65713281765863,77.12358404700292,80.53382386018279,0.2903815960618456,0.4700687330497756,32.773429901293525,0.9114855036890666,61.14750481979572,67.13000502111841,75.68608224363732
Visualizing Motion Using Tape Charts & Motion Graphs | Grade 7 Science DepEd MELC Quarter 3 Module 2,https://www.youtube.com/watch?v=ImkN3lC36vA,0,VisualizingMotionUsingTapeChartsMotionGraphsGrade7ScienceDepEdMELCQuarter3Module2,30.0,0.0,8.719444444444443,0.359125169679443,1491.1643553581332,0.7467989326142501,85.7436552681314,53.78104722064427,39.643996041266085,0.1828148123606244,0.3220396710237222,58.52620086998509,0.9807325745126284,14.495307047053059,6.541089677062503,4.171025305449534
Characteristics of Light | Grade 7 Science DepEd MELC Quarter 3 Module 4,https://www.youtube.com/watch?v=nuAA9OEINGc,0,CharacteristicsofLightGrade7ScienceDepEdMELCQuarter3Module4,30.0,0.0,5.535,0.4815801366800497,3231.368180625182,0.5988566245200432,82.39667712711947,54.23595935387125,38.75136558886241,0.2028684372177055,0.2268513077510364,61.155601616164105,0.976571537623463,17.714232751770638,10.44319585915656,12.8502053008062
Equivalent vectors - (Lesson 1 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=tngxz1Jr3ME,0,EquivalentvectorsLesson1of16MathematicsForm2TopicVectorsI,10.0,0.1997669385716663,3.337222222222222,0.3269213467001539,2673.0476804871546,0.6078875498077732,9.8938284219043,15.239636363198183,20.234625472080868,0.1375004494756117,0.2781119676662158,58.83368432885038,0.989519634836067,10.149427860594049,11.596122327992084,13.357893273935781
Product of a Negative Scalar and a Vector   - (Lesson 4 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=AKTvZCjowT4,0,ProductofaNegativeScalarandaVectorLesson4of16MathematicsForm2TopicVectorsI,10.0,0.2886465683130211,2.5983333333333336,0.2663529512833246,2155.3501473486613,0.757721697779559,9.629540861287694,15.059094912351997,19.936486665791605,0.1215198075689544,0.2551591270186426,55.78752900352009,0.9912555321140324,10.11473236246825,11.691222929217519,13.378762046263493
Fractional scalar and a vector  - (Lesson 5 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=CvUiS2Fu7d8,0,FractionalscalarandavectorLesson5of16MathematicsForm2TopicVectorsI,10.0,0.3058623619371283,2.4520833333333334,0.2769689920779685,2690.7037900573,0.6715888960370464,9.91281661725884,15.435447992528257,20.43569952330667,0.1323367068819031,0.2622314150143852,52.83100695003855,0.9907960756282272,10.26296145094844,11.78115431970967,13.471031508483916
Column vector - (Lesson 6 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=GuXXSrj7r4U,0,ColumnvectorLesson6of16MathematicsForm2TopicVectorsI,10.0,0.3668602873738917,2.1806666666666668,0.2738972387688752,2365.355752647132,0.6430452538818648,10.635808144858428,14.76103820659443,19.13699040709876,0.1394593335371446,0.3071963513620424,57.84432052523051,0.9898947155396453,19.755705737789018,20.275638453990034,21.21868471064379
Addition of column vectors   - (Lesson 7 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=E60rkhIffew,0,AdditionofcolumnvectorsLesson7of16MathematicsForm2TopicVectorsI,10.0,0.2263723825693265,2.9450000000000003,0.3081715995611702,2161.9066283469265,0.6418444438038083,12.732704685705682,17.626759698246385,22.7540212387012,0.127381852480664,0.2273648331684838,53.0544680073985,0.986156669079244,13.151571931273482,14.42689129170676,15.91055017812561
Subtraction of column Vectors  - (Lesson 8 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=YZif4LMCFDw,0,SubtractionofcolumnVectorsLesson8of16MathematicsForm2TopicVectorsI,10.0,0.262582056892779,2.5388888888888888,0.3678208651617673,2254.250246766253,0.6390841232809852,11.226511517607396,18.05846437388569,24.292712842068216,0.1291280700218818,0.1986985912611087,60.38951578963754,0.98801823843434,11.567855229656674,13.182366587498045,15.050522422643494
The Position Vector   - (Lesson 10 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=-55wnhLysdg,0,ThePositionVectorLesson10of16MathematicsForm2TopicVectorsI,10.0,0.2050931464706887,3.250555555555556,0.2459207049789362,2691.770445070806,0.5862301548220801,12.144393111921556,16.828422650988685,21.75813510865412,0.1333912972141514,0.2627940464345608,58.945237195191226,0.9898745026178314,13.561175641092323,14.72082247094106,16.091132314187654
Microorganisms Introduction,https://www.youtube.com/watch?v=sZbRyHOrE9I,0,MicroorganismsIntroduction,25.0,0.8342602892102335,0.998888888888889,2.5396558022889253,1282.254067064293,0.2161218822357802,40.91323239340233,42.04482469877377,41.96211171335925,0.3662217130144604,0.4434265581478778,20.224836225398924,0.8461604287086009,47.55981604908334,47.18248883441334,47.473586997451605
"Microorganisms 02 - Bacteria, the Guys Everywhere",https://www.youtube.com/watch?v=vff_-xXJ0Zc,0,Microorganisms02BacteriatheGuysEverywhere,25.0,0.1890597428787497,3.526222222222222,1.930398078282692,2888.9276842773675,0.2436368567825256,14.538824900068755,15.581444886879028,14.651061914661035,0.2408954247542223,0.5148357099821567,23.117362395396928,0.8938253307318044,12.617289174084188,12.737229869736785,11.602650382238096
"Microorganisms - Fungi, the Death Lovers",https://www.youtube.com/watch?v=tw4MvuNyaM0,0,MicroorganismsFungitheDeathLovers,24.97502595495805,0.0,3.775771851851852,1.7700910938547012,1611.8431203868224,0.211544434647425,0.9558912570867536,1.1645298210471096,1.6081778494319652,0.2575473055104553,0.196459001969385,20.89257372055428,0.884002819932831,6.903756654280634,7.587402476418873,8.263410526634841
Microorganisms 04 - Creepy Protozoans,https://www.youtube.com/watch?v=RVZLYc46bzk,0,Microorganisms04CreepyProtozoans,25.0,0.0,2.514,1.7659274182717006,2408.0698541310617,0.2036607389680247,21.38631574438132,16.87620456223191,14.907974659015244,0.3686626359055953,0.1872421311940535,20.755087572120747,0.8850208256771843,24.36246948879664,19.076982731013903,15.44023081395027
Microorganisms - Viruses Around Us | Learn from BYJU'S,https://www.youtube.com/watch?v=_uzHmQdBTBA,0,MicroorganismsVirusesAroundUsLearnfromBYJUS,25.0,0.7413509060955519,1.0116666666666667,1.9621447142490671,1149.642550735099,0.2205171536119067,3.0199985992099583,1.846246661128896,13.777281188350488,0.2638635584843492,0.2157178213387858,20.75408047984684,0.880372072513065,6.46381835972428,4.429910658039126,9.476464604010513
Tissues,https://www.youtube.com/watch?v=pAuKju6eWJI,0,Tissues,25.0,0.0,1.922,2.305828216283217,3904.6586025271126,0.4244878532297853,8.89925780816953,9.427267103546878,9.14707983785249,0.3648837322233784,0.141682777862195,19.29309301162697,0.8426596478573105,10.830398051666727,6.455621498191727,8.674595247434588
Summary on Tissues,https://www.youtube.com/watch?v=fKlsEF9xVUE,0,SummaryonTissues,25.0,4.28163653663178,0.2189583333333332,2.832948871311688,2782.862904921763,0.4973789372902984,1.8915593832441984,2.158225359879572,0.9295625911216914,0.2417257088487155,0.1710856098104904,19.978730935379097,0.8421131703332432,6.462232902324937,5.8145801509723904,4.378561210142025
Introduction to Heredity and Evolution | Learn with BYJU'S,https://www.youtube.com/watch?v=MqBb44ubESQ,0,IntroductiontoHeredityandEvolutionLearnwithBYJUS,25.0,1.7814726840855106,0.4490666666666666,2.827145026045319,2187.81084731241,0.0743188646844909,12.364855723560716,10.81240460205146,7.52523327229589,0.4185770190023753,0.1898739489584719,21.789331213423,0.817625709454175,8.42455970974815,9.78408691811724,8.903195662720293
Heredity and Evolution - Evolution and Fossil Fuels,https://www.youtube.com/watch?v=vwnf-x8qHHU,0,HeredityandEvolutionEvolutionandFossilFuels,25.0,1.6074873187111525,0.5832083333333333,3.4106565465440903,3102.2825601778527,0.0860773450028704,31.88948370416756,23.01631734570421,18.12060502661576,0.3730355076087733,0.7032391725506549,19.133295844501617,0.7917724342674186,21.839478834516985,13.355235859713487,10.6475381399973
Heredity and Evolution - Human Evolution,https://www.youtube.com/watch?v=P0DQgZSzgyM,0,HeredityandEvolutionHumanEvolution,25.0,3.673469387755102,0.2333333333333333,5.267759728063013,2178.355929733789,0.0795526240689828,47.09367188588216,41.594064749761245,32.33087865007251,0.5380294693877552,0.1775374866955191,17.617358063539537,0.6248950859298579,31.375494300559964,25.70277228651022,20.11025444182463
Structure of Human Ear | Learn with BYJU'S,https://www.youtube.com/watch?v=MgeSuTAIBKY,0,StructureofHumanEarLearnwithBYJUS,25.0,1.348314606741573,0.5933333333333334,2.044252233527138,3818.5854040186655,0.1556250237340253,46.06732837755494,42.44003954041983,44.128808672214745,0.294811595505618,0.1766942803305192,26.93046213438537,0.8434612266336624,43.51629840427617,39.07738209777792,43.06538622960324
The Process of Farming | Learn with BYJU'S,https://www.youtube.com/watch?v=Kxwdt0-wDyo,0,TheProcessofFarmingLearnwithBYJUS,25.0,7.546306883146581,0.1267536231884058,3.910172886300957,3400.382818721197,0.0999792511859288,57.80121148366693,52.51922749948686,56.14946351534646,0.4075321747084381,0.2400265587243278,20.214011826093387,0.78533314913163,31.174478723608754,45.36552626515363,43.18772786232751
"General English for GATE, PSUs, and Placements",https://www.youtube.com/watch?v=_8gNaALlD5Y,0,GeneralEnglishforGATEPSUsandPlacements,30.0,0.3264713884102657,2.042037037037037,0.1431697276053049,3032.815725559912,0.6732530123193764,43.488251229933326,43.43111846406552,47.07364745267832,0.1794609086786977,0.2221078510585576,38.983277124713055,0.9860543059384632,39.973605740311484,38.8276684481392,44.465002166652056
Parts of Speech: Nouns,https://www.youtube.com/watch?v=rEGircBQASI,0,PartsofSpeechNouns,30.0,0.0938086303939962,5.33,0.1063060208519183,2472.690713166268,0.6116509521239236,33.29372697460242,33.27859657849734,35.993089614535705,0.1817598373983739,0.3914391940409286,50.412931076270375,0.9891988884509816,30.45263477003737,29.775602459112882,34.327732953537456
Nouns (Solved Questions),https://www.youtube.com/watch?v=8b8Xi0nYJB0,0,NounsSolvedQuestions,30.0,0.9371513573819265,0.9336805555555556,0.1252809550553826,2404.614107818001,0.7312933788841124,39.78474978362502,39.63923663501285,42.81986241638394,0.1831992740795834,0.2764529497824992,39.26582700774423,0.9758017873568596,37.12237503978942,35.678066623204714,40.32300832385165
Parts of Speech: Pronouns (Part 3),https://www.youtube.com/watch?v=GBdZy6TZaNA,0,PartsofSpeechPronounsPart3,30.0,0.1407239465249003,3.5530555555555554,0.1181502587612111,2009.6842979314604,0.6603030700198679,28.967721955867205,28.999530685421,33.060030506621736,0.1803251098428582,0.2588793309817583,37.01343882735204,0.9871010244149018,37.09078291493361,36.179269584846466,41.937169630881975
Pronouns (Solved Questions),https://www.youtube.com/watch?v=6KOe1RHK_UQ,0,PronounsSolvedQuestions,30.0,0.7574562095628846,1.1735185185185186,0.0971132319509043,2860.895942421076,0.7081821231783458,32.49535070854876,32.217874300371115,35.100337253759406,0.1845707558781757,0.393826128277755,39.68589291613797,0.9810996586944692,31.10878365004923,30.09105634765785,33.83420594369015
Articles (Part 1),https://www.youtube.com/watch?v=8mWg9Hymg7k,0,ArticlesPart1,30.0,0.0944881889763779,5.291666666666667,0.0979396331430151,1948.053426165225,0.6762420241446552,30.481300630704244,30.39134151016153,33.539134190182025,0.1740853417322834,0.3722149886120136,38.79784879638111,0.9904814460966592,30.264543646691127,29.64790804970251,34.06554677746963
