Video URL,Video Title,Presentation Complexity
https://youtu.be/QWdoItzBxFI?si=_NZAvi_HoTtEqS_S,Science Notes Class 10 Ch-5 Periodic Classification of Elements Part-2,hard
https://youtu.be/V1-Qp74qtRY?si=NwjQtaG01MrCCI7F,Indus Valley Civilization Religious Life & Script-Part4 Ancient History Lec.7 An Aspirant !,hard
https://youtu.be/U39-YOzwhFc?si=MIlymU5toM8SPuSF,"Important Harrapan Sites Part5 Harappa, Mohenjodaro Ancient History Lec.8 An Aspirant !",hard
https://www.youtube.com/watch?v=1MvvQzJGXXM,Definitions of Geography || Types || Nature #GEOG-211 #4thsememster #pu,hard
https://www.youtube.com/watch?v=-qSV3Jqr4I4,Disabled by Wilfred Owen - English iGCSE,hard
https://www.youtube.com/watch?v=kvQROWAQB1Q,class 11 biology chapter 8 cell: The unit of life 🧬🧬 hand writen by me 🥰🥰😱🥺🥺🥺😊,hard
https://youtu.be/nyS6TlwM-jA?si=gGX4dxUkKBcnimjY,The Quantum Mechanic Model: HISTORY OF ATOM | Grade 9 Science Quarter 2 Week 1,simple
https://youtu.be/6n4_jtBQSC8?si=Q_RL3z5QUCAEQbUc,Chemical Bonding | Ionic and Covalent | Grade 9 Science Quarter 2 Week 2,simple
https://youtu.be/7CLz86k85Go?si=rP8ngyNsBwwL8CuH,GRADE 12 2022 MATHEMATICS PAST EXAMINATION SOLVING SIMULTANEOUS EQUATIONS,simple
https://youtu.be/iiexb6JcBT0?si=aDeb5alk23yyWjds,GRADE 12 2022 MATHEMATICS PAST EXAMINATION SIMPLIFYING EXPONENTIAL EXPRESSIONS,simple
https://www.youtube.com/watch?v=ndDpjT0_IM0,How Your Brain Works? - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,simple
https://youtu.be/hLq86kLEqTk?si=gxlVn7PNtilKjrEU,ʕ•ᴥ•ʔ Graph Lines Using a Table of Values,simple
https://youtu.be/rtaDQTlWsU8?si=0xjbu5aP6mXk3gaB,ʕ•ᴥ•ʔ Find the Surface Area of a Rectangular Prism with ease,simple
https://youtu.be/jU-4znsCFhU?si=pD6zD9k8n8FHfykU,sat English maths sat Ethiopian exam entrance exam sheetmaths,simple
https://youtu.be/iOoYgXKYxjQ?si=kKVxLKgLuvP09rCI,Grade 12 Physics Entrance Examination Ethiopian Education,simple
https://youtu.be/Bqyek4dnycM?si=AkgdvCz2c0GVs2Ds,Role and Functions of the RBI,simple
https://youtu.be/Fb5Nrc6YW9U?si=DqmNvYG_aFl7H_MR,Meaning and Functions of a Bank,simple
https://youtu.be/HCtO1JT6jec?si=REOE67XvsvR-Gvwf,"The Human Body for Kids - Trunk, Upper, and Lower Limbs",simple
https://youtu.be/rXVPmL8n4rE?si=c2RV0hCet8LaCA85,Snow White 2.0 - Revamped Story for Children to Learn Values,simple
https://youtu.be/ukzFI9rgwfU?si=8pJ5GnMZyKeRIN1O,Machine Learning What Is Machine Learning Introduction To Machine Learning 2024 Simplilearn,simple
https://youtu.be/1FZ0A1QCMWc?si=nwFpVJhWY4eWFQXH,Supervised vs Unsupervised vs Reinforcement Learning Machine Learning Tutorial Simplilearn,simple
https://www.youtube.com/watch?v=IoFpgy3FTUM,Photosynthesis Process: How Plants Make Their Own Food | Science For Kids,simple
https://www.youtube.com/watch?v=WG5ikvJ2TKA&t=84s,Frontend web development - a complete overview,simple
https://www.youtube.com/watch?v=VbvMJUpY0a4,JavaScript frameworks explained in 90 seconds,simple
https://www.youtube.com/watch?v=QCX62YJCmGk&t=3s,This tests your understanding of light | Optics puzzles 1,simple
https://www.youtube.com/watch?v=U_85TaXbeIo,The quick proof of Bayes' theorem,simple
https://www.youtube.com/watch?v=v0YEaeIClKY,"e^(iπ) in 3.14 minutes, using dynamics | DE5",simple
https://www.youtube.com/watch?v=vE7Cy5csYbQ,Python in 2 Minutes!,simple
https://youtu.be/Y1LKHx_GrsY?si=m6IESIHL6hLWlvnp,Bacterial DNA & Genetics: Crash Course Biology #38,simple
https://youtu.be/NKpkU4-Sf9A?si=AMNaALkusr7kG3N1,Nervous & Endocrine Systems Crash Course Biology #46,simple
https://youtu.be/oYddXjm6QRw?si=hyop3WtSfl6O_mGB,Organometallic Reagents and Carbanions: Crash Course Organic Chemistry #28,simple
https://www.youtube.com/watch?v=uKrgEv7-rVM,Parts of the Cardiac System (Heart Anatomy),simple
https://www.youtube.com/watch?v=4kmugcPFRqQ,The Diencephalon,simple
https://www.youtube.com/watch?v=0LTdAaXCI1c,Respiratory System Summary,simple
https://www.youtube.com/watch?v=JDo9LNMOLtE,Heart failure treatment - Late stages Khan Academy,simple
https://www.youtube.com/watch?v=1TEBa0EiNg8&t=52s,🍩 Kids Book Read Aloud_ DINOS LOVE DONUTS,simple
https://www.youtube.com/watch?v=2JI5HB3Pg9w,"🎃 Kids Read Aloud_ THE GOOD, THE BAD, AND THE SPOOKY",simple
https://www.youtube.com/watch?v=4wiKrZY5GVw,Learn Grade 3 - Science - Natural Resources,simple
https://youtu.be/mtq2PG67w4E?si=1datHgg6nJS1Fu6r,What is space and how do we study it? Crash Course Geography #3,simple
https://www.youtube.com/watch?v=Ka77djMkSwg,What is a JavaScript Framework? (in detail),simple
https://youtu.be/KAGWjGzo-28?si=nDelrxzmV0nuOJP_,Consumer Rights and Protection,simple
https://www.youtube.com/watch?v=JGwoN20ElLA,sympathetic stimulation of the heart,simple
